Rank,Player,Team,Position,Tier,Tag,Notes
129,Blake Corum,LAR,RB,Tier 7,SLEEPER,⭐[TOP-10 ECO VALUE] | VORP: -19.7 | Proj: 126.6pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • ⚠️ Committee Trap
130,Tre Tucker,LV,WR,Tier 7,SLEEPER,🟣[YAHOO STEAL: +38 PICKS] | VORP: -20.6 | Proj: 118.2pts | Scheme: Klint Kubiak
131,Malik Willis,MIA,QB,Tier 7,TARGET,💥[EXODIA MUST-HAVE] | VORP: -21.2 | Proj: 245.8pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass) • ⚡ Dual-Threat Floor
132,Khalil Shakir,BUF,WR,Tier 7,AVOID,🚫[AVOID/FADE] | VORP: -22.7 | Proj: 116.1pts | ⭐ Top-10 Eco (Joe Brady) • 🎯 Pass-Funnel RZ (58% Pass) • ⚡ 3-WR Slot Heavy (24%)
133,Kyle Monangai,CHI,RB,Tier 7,,VORP: -23.2 | Proj: 123.2pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • ⚠️ Committee Trap
134,Jonathon Brooks,CAR,RB,Tier 7,TARGET,💥[EXODIA MUST-HAVE] | VORP: -23.2 | Proj: 123.1pts | Scheme: Dave Canales/Idzik • OL #8
135,Pat Freiermuth,PIT,TE,Tier 7,SLEEPER,🟣[YAHOO STEAL: +60 PICKS] | VORP: -23.3 | Proj: 94.2pts | Scheme: Mike McCarthy • 🎯 90%+ Route Snaps (41% 12p)
136,Jalen Coker,CAR,WR,Tier 7,,VORP: -23.8 | Proj: 115.0pts | Scheme: Dave Canales/Idzik
137,C.J. Stroud,HOU,QB,Tier 7,,VORP: -23.9 | Proj: 242.2pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass) • 💰 Contract Yr
138,Cooper Kupp,SEA,WR,Tier 7,SLEEPER,🟣[YAHOO STEAL: +34 PICKS] | VORP: -25.7 | Proj: 113.1pts | Scheme: Brian Fleury • 🚨 2-WR Bench Risk (47%)
139,Jalen Nailor,LV,WR,Tier 7,SLEEPER,🟣[YAHOO STEAL: +20 PICKS] | VORP: -25.8 | Proj: 113.0pts | Scheme: Klint Kubiak
140,Sam Darnold,SEA,QB,Tier 7,,VORP: -25.9 | Proj: 239.6pts | Scheme: Brian Fleury • OL #14
141,J.K. Dobbins,DEN,RB,Tier 7,AVOID,🚫[AVOID/FADE] | VORP: -26.2 | Proj: 120.1pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • ⚠️ Committee Trap
142,Keenan Allen,IND,WR,Tier 7,,VORP: -26.9 | Proj: 111.9pts | Scheme: Shane Steichen
143,Kenyon Sadiq,NYJ,TE,Tier 7,,VORP: -26.9 | Proj: 89.9pts | Scheme: Frank Reich • 🔥 Breakout Catalyst
144,Evan Engram,DEN,TE,Tier 7,,VORP: -27.3 | Proj: 89.4pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton)
145,Rachaad White,WAS,RB,Tier 8,AVOID,🚫[AVOID/FADE] | VORP: -27.6 | Proj: 118.7pts | Scheme: David Blough • ⚠️ Bad OL (#25)
146,Gunnar Helm,TEN,TE,Tier 8,,VORP: -28.2 | Proj: 88.4pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31)
147,Ryan Flournoy,DAL,WR,Tier 8,,VORP: -28.8 | Proj: 110.0pts | ⭐ Top-10 Eco (Brian Schottenheimer) • 🎯 Pass-Funnel RZ (61% Pass) • ⚡ 3-WR Slot Heavy (26%)
148,Makai Lemon,PHI,WR,Tier 8,AVOID,🚫[AVOID/FADE] | VORP: -30.6 | Proj: 108.2pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2)
149,Charlie Kolar,LAC,TE,Tier 8,,VORP: -30.8 | Proj: 85.4pts | Scheme: Mike McDaniel
150,KC Concepcion,CLE,WR,Tier 8,,VORP: -32.0 | Proj: 106.8pts | Scheme: Todd Monken • ⚠️ Bad OL (#32) • 🚨 2-WR Bench Risk (47%)
151,Brandon Aubrey,DAL,K,Tier 8,,VORP: +1.8 | Proj: 136.1pts | ⭐ Top-10 Eco (Brian Schottenheimer)
152,Houston Texans,HOU,DST,Tier 8,,VORP: +1.8 | Proj: 102.4pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29)
153,Los Angeles Rams,LAR,DST,Tier 8,,VORP: +1.7 | Proj: 102.1pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3)
154,Jake Bates,DET,K,Tier 8,,VORP: +1.5 | Proj: 134.9pts | ⭐ Top-10 Eco (Drew Petzing)
155,Seattle Seahawks,SEA,DST,Tier 8,,VORP: +1.4 | Proj: 100.7pts | Scheme: Brian Fleury
156,Denver Broncos,DEN,DST,Tier 8,,VORP: +1.2 | Proj: 99.9pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1)
157,Philadelphia Eagles,PHI,DST,Tier 8,,VORP: +1.1 | Proj: 99.7pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2)
158,Jacksonville Jaguars,JAC,DST,Tier 8,,VORP: +1.1 | Proj: 99.6pts | Scheme: Liam Coen
159,Blake Grupe,IND,K,Tier 8,,VORP: +1.0 | Proj: 132.6pts | Scheme: Shane Steichen
160,Harrison Mevis,LAR,K,Tier 8,,VORP: +0.8 | Proj: 132.1pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3)
161,Minnesota Vikings,MIN,DST,Tier 8,,VORP: +0.6 | Proj: 97.4pts | Scheme: Kevin O'Connell
162,Cairo Santos,CHI,K,Tier 8,,VORP: +0.4 | Proj: 130.3pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4)
163,New England Patriots,NE,DST,Tier 8,,VORP: +0.4 | Proj: 96.7pts | Scheme: Josh McDaniels
164,Kansas City Chiefs,KC,DST,Tier 8,,VORP: +0.4 | Proj: 96.6pts | ⭐ Top-10 Eco (Andy Reid)
165,Jason Myers,SEA,K,Tier 8,,VORP: +0.3 | Proj: 129.9pts | Scheme: Brian Fleury
166,Eddy Pineiro,SF,K,Tier 8,,VORP: +0.3 | Proj: 129.8pts | ⭐ Top-10 Eco (Kyle Shanahan)
167,Tyler Bass,BUF,K,Tier 8,,VORP: +0.3 | Proj: 129.8pts | ⭐ Top-10 Eco (Joe Brady)
168,Ka'imi Fairbairn,HOU,K,Tier 8,,VORP: +0.2 | Proj: 129.7pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29)
169,Cameron Dicker,LAC,K,Tier 8,,VORP: +0.2 | Proj: 129.5pts | Scheme: Mike McDaniel
170,Spencer Shrader,IND,K,Tier 8,,VORP: +0.2 | Proj: 129.4pts | Scheme: Shane Steichen
171,Green Bay Packers,GB,DST,Tier 8,,VORP: +0.2 | Proj: 95.8pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27)
172,Tyler Loop,BAL,K,Tier 8,,VORP: +0.1 | Proj: 129.2pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26)
173,Los Angeles Chargers,LAC,DST,Tier 8,,VORP: +0.1 | Proj: 95.5pts | Scheme: Mike McDaniel
174,Pittsburgh Steelers,PIT,DST,Tier 8,,VORP: +0.0 | Proj: 95.2pts | Scheme: Mike McCarthy
175,Harrison Butker,KC,K,Tier 8,,VORP: +0.0 | Proj: 128.7pts | ⭐ Top-10 Eco (Andy Reid)
176,New Orleans Saints,NO,DST,Tier 8,,VORP: +0.0 | Proj: 95.1pts | Scheme: Kellen Moore
177,Cam Little,JAC,K,Tier 8,,VORP: -0.2 | Proj: 127.9pts | Scheme: Liam Coen
178,Baltimore Ravens,BAL,DST,Tier 8,,VORP: -0.2 | Proj: 94.2pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26)
179,Buffalo Bills,BUF,DST,Tier 8,,VORP: -0.3 | Proj: 94.0pts | ⭐ Top-10 Eco (Joe Brady)
180,Carolina Panthers,CAR,DST,Tier 8,,VORP: -0.3 | Proj: 93.9pts | Scheme: Dave Canales/Idzik
181,Trey Smack,GB,K,Tier 8,,VORP: -0.4 | Proj: 127.0pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27)
182,Chase McLaughlin,TB,K,Tier 8,,VORP: -0.5 | Proj: 126.9pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5)
183,Rashid Shaheed,SEA,WR,Tier 8,,VORP: -32.1 | Proj: 106.7pts | Scheme: Brian Fleury • 🚨 2-WR Bench Risk (47%)
184,Greg Dulcich,MIA,TE,Tier 8,TARGET,👑[THE TWELVE] | VORP: -32.1 | Proj: 83.8pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
185,Dontayvion Wicks,PHI,WR,Tier 8,,VORP: -33.5 | Proj: 105.3pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2)
186,Jacory Croskey-Merritt,WAS,RB,Tier 8,AVOID,⚠️[PASS/CAUTION] | VORP: -34.2 | Proj: 112.2pts | Scheme: David Blough • ⚠️ Bad OL (#25) • ⚠️ Committee Trap
187,Caleb Douglas,MIA,WR,Tier 8,,VORP: -35.4 | Proj: 103.3pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
188,Jerry Jeudy,CLE,WR,Tier 8,,VORP: -36.7 | Proj: 102.1pts | Scheme: Todd Monken • ⚠️ Bad OL (#32) • 🚨 2-WR Bench Risk (47%)
189,Jalen McMillan,TB,WR,Tier 8,,VORP: -37.6 | Proj: 101.2pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5) • 🎯 Pass-Funnel RZ (60% Pass) • ⚡ 3-WR Slot Heavy (27%)
190,Jacoby Brissett,ARI,QB,Tier 8,,VORP: -38.4 | Proj: 222.9pts | Scheme: Mike LaFleur • OL #20
191,Bryce Young,CAR,QB,Tier 8,,VORP: -38.5 | Proj: 222.7pts | Scheme: Dave Canales/Idzik • OL #8 • 💰 Contract Yr
192,Tyjae Spears,TEN,RB,Tier 8,,VORP: -38.9 | Proj: 107.4pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31)
193,DeMario Douglas,NE,WR,Tier 8,,VORP: -39.0 | Proj: 99.8pts | Scheme: Josh McDaniels
194,Terrance Ferguson,LAR,TE,Tier 8,,VORP: -39.0 | Proj: 75.7pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass) • 🎯 90%+ Route Snaps (40% 12p)
195,Colby Parkinson,LAR,TE,Tier 8,,VORP: -39.1 | Proj: 75.6pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass) • 🎯 90%+ Route Snaps (40% 12p)
196,Mike Gesicki,CIN,TE,Tier 8,,VORP: -39.9 | Proj: 74.6pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
197,Rashod Bateman,BAL,WR,Tier 8,,VORP: -41.0 | Proj: 97.8pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 🚨 2-WR Bench Risk (60%)
198,Geno Smith,NYJ,QB,Tier 8,,VORP: -41.2 | Proj: 219.2pts | Scheme: Frank Reich • OL #17
199,Aaron Rodgers,PIT,QB,Tier 8,,VORP: -41.5 | Proj: 218.8pts | Scheme: Mike McCarthy • OL #19
200,Malik Washington,MIA,WR,Tier 8,,VORP: -41.6 | Proj: 97.2pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
201,Oronde Gadsden II,LAC,TE,Tier 8,,VORP: -42.2 | Proj: 71.9pts | Scheme: Mike McDaniel
202,Cam Ward,TEN,QB,Tier 8,,VORP: -42.4 | Proj: 217.6pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31) • 🔥 Breakout Catalyst
203,Denzel Boston,CLE,WR,Tier 8,,VORP: -43.1 | Proj: 95.7pts | Scheme: Todd Monken • ⚠️ Bad OL (#32) • 🚨 2-WR Bench Risk (47%)
204,Mason Taylor,NYJ,TE,Tier 8,,VORP: -44.0 | Proj: 69.8pts | Scheme: Frank Reich
205,Michael Mayer,LV,TE,Tier 8,,VORP: -45.1 | Proj: 68.5pts | Scheme: Klint Kubiak • 🎯 90%+ Route Snaps (40% 12p)
206,Jauan Jennings,MIN,WR,Tier 8,,VORP: -45.4 | Proj: 93.4pts | Scheme: Kevin O'Connell • 🎯 Pass-Funnel RZ (58% Pass)
207,Zach Charbonnet,SEA,RB,Tier 8,SLEEPER,⭐[TOP-10 ECO VALUE] | VORP: -45.8 | Proj: 100.5pts | ⭐ Top-10 Eco (Brian Fleury) • OL #14
208,Tre' Harris,LAC,WR,Tier 8,,VORP: -47.0 | Proj: 91.8pts | Scheme: Mike McDaniel • ⚡ 3-WR Slot Heavy (19%)
209,Theo Johnson,NYG,TE,Tier 8,,VORP: -47.0 | Proj: 66.3pts | Scheme: Matt Nagy
210,Kayshon Boutte,HOU,WR,Tier 8,,VORP: -47.7 | Proj: 91.1pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass) • ⚡ 3-WR Slot Heavy (14%)
211,Darnell Washington,PIT,TE,Tier 8,,VORP: -48.5 | Proj: 64.5pts | Scheme: Mike McCarthy • 🎯 90%+ Route Snaps (41% 12p)
212,Cole Kmet,CHI,TE,Tier 8,,VORP: -49.5 | Proj: 63.3pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson) • 🎯 90%+ Route Snaps (41% 12p)
213,Dawson Knox,BUF,TE,Tier 8,,VORP: -49.6 | Proj: 63.2pts | ⭐ Top-10 Eco (Joe Brady) • 🎯 Pass-Funnel RZ (58% Pass)
214,Justice Hill,BAL,RB,Tier 8,,VORP: -49.7 | Proj: 96.6pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 👑 Elite GL Run (72% Run - Henry/Lamar TDs)
215,Adonai Mitchell,NYJ,WR,Tier 8,,VORP: -49.8 | Proj: 89.0pts | Scheme: Frank Reich • ⚡ 3-WR Slot Heavy (24%)
216,Jordyn Tyson,NO,WR,Tier 8,AVOID,🚫[AVOID/FADE] | VORP: -50.1 | Proj: 88.7pts | Scheme: Kellen Moore • ⚡ 3-WR Slot Heavy (25%)
217,Devaughn Vele,NO,WR,Tier 8,,VORP: -50.2 | Proj: 88.6pts | Scheme: Kellen Moore • ⚡ 3-WR Slot Heavy (25%)
218,Isiah Pacheco,DET,RB,Tier 8,,VORP: -50.3 | Proj: 96.0pts | ⭐ Top-10 Eco (Drew Petzing) • OL #16 • 👑 Elite GL Run (74% Run - Gibbs/Monty TDs)
219,Keaton Mitchell,LAC,RB,Tier 8,TARGET,🎯[SMASH TARGET] | VORP: -50.3 | Proj: 96.0pts | Scheme: Mike McDaniel • OL #9 • 👑 Elite GL Run (71% Run - Hampton TDs)
220,Calvin Ridley,TEN,WR,Tier 8,,VORP: -50.8 | Proj: 87.9pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31) • ⚡ 3-WR Slot Heavy (20%)
221,Woody Marks,HOU,RB,Tier 8,,VORP: -51.1 | Proj: 95.3pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29)
222,De'Zhaun Stribling,SF,WR,Tier 8,TARGET,🎯[SMASH TARGET] | VORP: -51.4 | Proj: 87.4pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🚨 2-WR Bench Risk (48%)
223,David Njoku,LAC,TE,Tier 8,,VORP: -52.4 | Proj: 59.9pts | Scheme: Mike McDaniel
224,Darren Waller,CAR,TE,Tier 8,,VORP: -53.2 | Proj: 59.0pts | Scheme: Dave Canales/Idzik
225,Erick All Jr.,CIN,TE,Tier 8,,VORP: -54.3 | Proj: 57.6pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
226,Noah Gray,KC,TE,Tier 8,,VORP: -54.8 | Proj: 57.1pts | ⭐ Top-10 Eco (Andy Reid) • 🎯 Pass-Funnel RZ (63% Pass)
227,Malachi Fields,NYG,WR,Tier 8,,VORP: -56.1 | Proj: 82.7pts | Scheme: Matt Nagy
228,Tyler Higbee,LAR,TE,Tier 8,,VORP: -56.2 | Proj: 55.4pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass) • 🎯 90%+ Route Snaps (40% 12p)
229,Jordan Mason,MIN,RB,Tier 8,,VORP: -56.5 | Proj: 89.8pts | Scheme: Kevin O'Connell • OL #12 • ⚠️ Committee Trap
230,Chris Rodriguez Jr.,JAC,RB,Tier 8,,VORP: -56.5 | Proj: 89.8pts | Scheme: Liam Coen • OL #23
231,Dylan Sampson,CLE,RB,Tier 8,,VORP: -56.9 | Proj: 89.4pts | Scheme: Todd Monken • ⚠️ Bad OL (#32)
232,Tyquan Thornton,KC,WR,Tier 8,,VORP: -58.3 | Proj: 80.4pts | ⭐ Top-10 Eco (Andy Reid) • 🎯 Pass-Funnel RZ (63% Pass)
233,Pat Bryant,DEN,WR,Tier 8,,VORP: -58.7 | Proj: 80.1pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton) • ⚡ 3-WR Slot Heavy (17%)
234,Tyler Allgeier,ARI,RB,Tier 8,,VORP: -58.8 | Proj: 87.5pts | Scheme: Mike LaFleur • OL #20
235,Omar Cooper Jr.,NYJ,WR,Tier 8,,VORP: -58.9 | Proj: 79.9pts | Scheme: Frank Reich • ⚡ 3-WR Slot Heavy (24%)
236,KaVontae Turpin,DAL,WR,Tier 8,,VORP: -59.0 | Proj: 79.8pts | ⭐ Top-10 Eco (Brian Schottenheimer) • 🎯 Pass-Funnel RZ (61% Pass) • ⚡ 3-WR Slot Heavy (26%)
237,Chris Bell,MIA,WR,Tier 8,,VORP: -59.1 | Proj: 79.6pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
238,Elijah Arroyo,SEA,TE,Tier 8,,VORP: -59.2 | Proj: 51.9pts | Scheme: Brian Fleury • 🎯 90%+ Route Snaps (47% 12p)
239,Andrei Iosivas,CIN,WR,Tier 8,,VORP: -59.7 | Proj: 79.1pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
240,Noah Fant,NO,TE,Tier 8,,VORP: -60.8 | Proj: 50.0pts | Scheme: Kellen Moore
241,Travis Hunter,JAC,WR,Tier 8,,VORP: -61.1 | Proj: 77.7pts | Scheme: Liam Coen • 🎯 Pass-Heavy RZ (Liam Coen) • ⚡ 3-WR Slot Heavy (25%)
242,Jaylin Noel,HOU,WR,Tier 8,,VORP: -62.0 | Proj: 76.8pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass) • ⚡ 3-WR Slot Heavy (14%)
243,Tank Dell,HOU,WR,Tier 8,,VORP: -62.5 | Proj: 76.2pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass) • ⚡ 3-WR Slot Heavy (14%) • 💰 Contract Yr
244,Ja'Kobi Lane,BAL,WR,Tier 8,,VORP: -62.7 | Proj: 76.1pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 🚨 2-WR Bench Risk (60%)
245,Samaje Perine,CIN,RB,Tier 8,,VORP: -63.1 | Proj: 83.3pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28)
246,Kendrick Bourne,ARI,WR,Tier 8,,VORP: -63.7 | Proj: 75.1pts | Scheme: Mike LaFleur
247,Brian Robinson Jr.,ATL,RB,Tier 8,,VORP: -64.0 | Proj: 82.3pts | Scheme: Kevin Stefanski/Rees • OL #11 • 👑 Elite GL Run (70% Run - Bijan TDs)
248,Troy Franklin,DEN,WR,Tier 8,,VORP: -65.7 | Proj: 73.1pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton) • ⚡ 3-WR Slot Heavy (17%)
249,Xavier Legette,CAR,WR,Tier 8,,VORP: -65.7 | Proj: 73.1pts | Scheme: Dave Canales/Idzik
250,Darius Slayton,NYG,WR,Tier 8,,VORP: -65.7 | Proj: 73.0pts | Scheme: Matt Nagy
251,Marvin Mims Jr.,DEN,WR,Tier 8,,VORP: -66.0 | Proj: 72.8pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton) • ⚡ 3-WR Slot Heavy (17%)
252,Ty Johnson,BUF,RB,Tier 8,,VORP: -66.1 | Proj: 80.2pts | ⭐ Top-10 Eco (Joe Brady) • OL #7
253,Mike Washington Jr.,LV,RB,Tier 8,,VORP: -66.5 | Proj: 79.8pts | Scheme: Klint Kubiak • OL #24
254,Isaac TeSlaa,DET,WR,Tier 8,,VORP: -66.7 | Proj: 72.1pts | ⭐ Top-10 Eco (Drew Petzing)
255,Elijah Higgins,ARI,TE,Tier 8,,VORP: -66.9 | Proj: 42.8pts | Scheme: Mike LaFleur
256,Jahan Dotson,ATL,WR,Tier 8,,VORP: -67.1 | Proj: 71.7pts | Scheme: Kevin Stefanski/Rees • 🚨 2-WR Bench Risk (54%)
257,Daniel Bellinger,TEN,TE,Tier 8,,VORP: -67.7 | Proj: 41.9pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31)
258,Jake Tonges,SF,TE,Tier 8,,VORP: -67.9 | Proj: 41.7pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🎯 90%+ Route Snaps (48% 12p)
259,Germie Bernard,PIT,WR,Tier 8,,VORP: -68.7 | Proj: 70.0pts | Scheme: Mike McCarthy
260,Austin Hooper,ATL,TE,Tier 8,,VORP: -68.9 | Proj: 40.6pts | Scheme: Kevin Stefanski/Rees • 🎯 90%+ Route Snaps (54% 12p)
261,Oscar Delp,NO,TE,Tier 8,,VORP: -70.0 | Proj: 39.2pts | Scheme: Kellen Moore
262,Tanner Hudson,CIN,TE,Tier 8,,VORP: -70.4 | Proj: 38.8pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
263,Ted Hurst III,TB,WR,Tier 8,,VORP: -70.5 | Proj: 68.2pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5) • 🎯 Pass-Funnel RZ (60% Pass) • ⚡ 3-WR Slot Heavy (27%)
264,Keon Coleman,BUF,WR,Tier 8,,VORP: -71.6 | Proj: 67.2pts | ⭐ Top-10 Eco (Joe Brady) • 🎯 Pass-Funnel RZ (58% Pass) • ⚡ 3-WR Slot Heavy (24%)
265,Alvin Kamara,NO,RB,Tier 8,,VORP: -72.2 | Proj: 74.1pts | Scheme: Kellen Moore • OL #22
266,Tommy Tremble,CAR,TE,Tier 8,,VORP: -72.5 | Proj: 36.3pts | Scheme: Dave Canales/Idzik
267,Tyrone Tracy Jr.,NYG,RB,Tier 8,,VORP: -72.7 | Proj: 73.6pts | Scheme: Matt Nagy • OL #18
268,Zachariah Branch,ATL,WR,Tier 8,,VORP: -72.8 | Proj: 65.9pts | Scheme: Kevin Stefanski/Rees • 🚨 2-WR Bench Risk (54%)
269,Deshaun Watson,CLE,QB,Tier 8,,VORP: -72.9 | Proj: 176.9pts | Scheme: Todd Monken • ⚠️ Bad OL (#32)
270,Drew Sample,CIN,TE,Tier 8,,VORP: -73.0 | Proj: 35.7pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
271,Xavier Hutchinson,HOU,WR,Tier 8,,VORP: -73.3 | Proj: 65.5pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass) • ⚡ 3-WR Slot Heavy (14%)
272,Adam Trautman,DEN,TE,Tier 8,,VORP: -73.4 | Proj: 35.2pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton)
273,MarShawn Lloyd,GB,RB,Tier 8,,VORP: -73.6 | Proj: 72.7pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27) • 👑 Elite GL Run (67% Run - Jacobs TDs)
274,Marlin Klein,HOU,TE,Tier 8,,VORP: -74.1 | Proj: 34.4pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass)
275,Jonah Coleman,DEN,RB,Tier 8,TARGET,🎯[SMASH TARGET] | VORP: -74.7 | Proj: 71.7pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1)
276,John Bates,WAS,TE,Tier 8,,VORP: -74.7 | Proj: 33.7pts | Scheme: David Blough • ⚠️ Bad OL (#25)
277,Elic Ayomanor,TEN,WR,Tier 8,,VORP: -75.3 | Proj: 63.5pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31) • ⚡ 3-WR Slot Heavy (20%)
278,Josh Oliver,MIN,TE,Tier 8,,VORP: -75.3 | Proj: 33.0pts | Scheme: Kevin O'Connell • 🎯 Pass-Funnel RZ (58% Pass)
279,Will Kacmarek,MIA,TE,Tier 8,,VORP: -75.5 | Proj: 32.7pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
280,Kalif Raymond,CHI,WR,Tier 8,,VORP: -75.8 | Proj: 62.9pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson)
281,Luke Musgrave,GB,TE,Tier 8,,VORP: -76.1 | Proj: 32.0pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27)
282,Eli Raridon,NE,TE,Tier 8,,VORP: -76.3 | Proj: 31.8pts | Scheme: Josh McDaniels
283,Eli Stowers,PHI,TE,Tier 8,,VORP: -76.4 | Proj: 31.7pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2)
284,Ja'Tavion Sanders,CAR,TE,Tier 8,,VORP: -76.9 | Proj: 31.1pts | Scheme: Dave Canales/Idzik
285,Jaydon Blue,DAL,RB,Tier 8,,VORP: -77.1 | Proj: 69.2pts | ⭐ Top-10 Eco (Brian Schottenheimer) • OL #15
286,Tory Horton,SEA,WR,Tier 8,,VORP: -77.5 | Proj: 61.3pts | Scheme: Brian Fleury • 🚨 2-WR Bench Risk (47%)
287,Ben Sinnott,WAS,TE,Tier 8,,VORP: -77.8 | Proj: 30.1pts | Scheme: David Blough • ⚠️ Bad OL (#25)
288,Tommy Myers,FA,TE,Tier 8,,VORP: -79.3 | Proj: 28.3pts | Scheme: nan
